1,b0b903da61300804,507,380,1,21,46,87,in_progress,364.32,330.3,2024-06-17 01:20:37,2024-11-15 23:19:40,2024-11-15 23:19:40,b0b903da,61300804
2,57b0a75549c422dd,841,26,86,31,7,16,initiated,498.25,234.57,2024-08-15 00:01:56,2024-09-03 00:09:32,2024-09-03 00:09:32,57b0a755,49c422dd
3,d3e7b41b35c9155e,962,237,7,95,2,47,initiated,277.08,238.6,2024-06-03 04:33:26,2024-10-11 23:03:52,2024-10-11 23:03:52,d3e7b41b,35c9155e
4,534bab98f26fb209,317,71,98,82,26,36,initiated,261.45,151.86,2024-03-12 07:04:39,2024-11-02 04:47:05,2024-11-02 04:47:05,534bab98,f26fb209
5,8e8c41ec1eebb43b,658,906,61,75,20,49,completed,196.37,159.31,2024-06-15 22:13:48,2024-08-18 12:24:52,2024-11-19 17:39:20,8e8c41ec,1eebb43b
6,1c58cd91782b72f9,284,721,33,21,73,100,completed,316.54,326.6,2023-12-23 07:41:35,2024-04-20 16:02:37,2024-07-28 12:13:50,1c58cd91,782b72f9
7,018d134b1b77f21e,407,800,59,29,40,88,initiated,466.59,141.27,2024-04-01 19:41:16,2024-04-07 22:01:54,2024-04-07 22:01:54,018d134b,1b77f21e
8,3713d712f92d6ab5,864,751,88,9,73,87,completed,147.24,402.08,2024-03-09 08:02:47,2024-06-12 18:52:55,2024-07-26 05:04:50,3713d712,f92d6ab5
9,eac2c950738fd832,14,901,58,77,30,74,in_progress,141.82,260.67,2024-12-09 02:34:58,2024-12-09 04:25:40,2024-12-09 04:25:40,eac2c950,738fd832
10,e49c4c6e5e32d74a,614,337,19,67,52,58,in_progress,379.73,209.53,2024-09-13 11:22:13,2024-10-20 09:29:37,2024-10-20 09:29:37,e49c4c6e,5e32d74a
11,78695eebae461545,339,137,4,44,43,16,completed,463.33,315.11,2024-10-23 09:46:24,2024-11-21 02:17:42,2024-12-06 10:27:13,78695eeb,ae461545
12,f4bfc46f16dfbbed,703,294,3,8,49,20,initiated,156.56,253.65,2024-01-20 10:04:30,2024-08-04 12:10:07,2024-08-04 12:10:07,f4bfc46f,16dfbbed
13,e9b9d7456e7b44da,452,53,85,75,35,100,initiated,202.43,176.01,2024-02-03 19:18:37,2024-05-05 11:03:22,2024-05-05 11:03:22,e9b9d745,6e7b44da
14,d076edbc138f10d9,934,243,7,94,49,84,initiated,279.54,304.73,2024-02-04 06:19:32,2024-05-21 00:22:47,2024-05-21 00:22:47,d076edbc,138f10d9
15,1d8f3616ce180544,649,582,56,82,90,75,completed,458.19,194.77,2024-04-27 22:10:59,2024-10-09 19:52:12,2024-11-26 01:13:23,1d8f3616,ce180544
16,346cd0908a887ab5,770,962,90,42,71,34,failed,116.61,411.63,2024-02-08 16:16:39,2024-12-04 10:03:15,2024-12-04 10:03:15,346cd090,8a887ab5
17,d8e5bcc2fa3aed95,164,348,22,98,55,88,completed,142.25,454.56,2024-06-28 02:45:24,2024-09-21 01:21:07,2024-10-02 18:34:08,d8e5bcc2,fa3aed95
18,b1f3a81c1a1f659c,681,805,70,56,6,73,initiated,129.9,324.31,2024-07-01 17:24:35,2024-10-28 05:30:28,2024-10-28 05:30:28,b1f3a81c,1a1f659c
19,ca21e89c7e7018d5,271,774,86,84,28,66,completed,334.44,471.06,2024-04-24 11:22:09,2024-09-19 22:41:16,2024-11-07 23:58:25,ca21e89c,7e7018d5
20,86a12d5881d3e90f,526,137,39,19,48,26,in_progress,387.29,400.04,2024-08-01 21:52:53,2024-09-06 15:08:29,2024-09-06 15:08:29,86a12d58,81d3e90f
21,c6a4842527ccd273,608,259,15,93,66,28,completed,347.18,314.28,2024-09-19 00:21:32,2024-12-05 15:45:58,2024-12-07 05:56:35,c6a48425,27ccd273
22,25224783dc9885af,147,356,81,50,14,74,failed,173.12,389.85,2024-03-20 03:00:33,2024-05-24 05:36:50,2024-05-24 05:36:50,25224783,dc9885af
23,2a4e8536bb5cc36c,114,705,19,5,53,51,initiated,111.22,463.32,2023-12-23 19:08:21,2024-05-02 18:15:48,2024-05-02 18:15:48,2a4e8536,bb5cc36c
