1,1,703,0.96,0.06,0.1
2,1,47,1.23,0.08,0.06
3,1,39,0.75,0.01,0.08
4,1,55,0.79,0.06,0.03
5,1,455,1.44,0.09,0.06
6,1,175,1.47,0.02,0.09
7,1,420,1.36,0.03,0.01
8,1,53,0.9,0.08,0.05
9,1,323,0.99,0.01,0.09
10,1,310,1.03,0.07,0.04
11,1,482,1.41,0.01,0.1
12,1,72,0.94,0.05,0.07
13,1,821,1.35,0.09,0.04
14,1,151,1.35,0.02,0.1
15,1,479,0.82,0.02,0.05
16,1,275,1.16,0.07,0.05
17,1,996,0.76,0.02,0.04
18,1,309,1.1,0.05,0.08
19,1,273,0.82,0.1,0.05
20,1,27,1.41,0.03,0.09
21,2,783,1.33,0.03,0.02
22,2,503,1.12,0.06,0.07
23,2,761,1.36,0.03,0.1
24,2,253,1.04,0.09,0.06
25,2,61,0.79,0.03,0.02
26,2,683,1.02,0.08,0.04
27,2,393,1.02,0.05,0.02
28,2,582,1.05,0.02,0.1
29,2,352,1.42,0.08,0.06
30,2,314,1.21,0.05,0.05
31,2,697,0.53,0.01,0.08
32,2,619,1.42,0.08,0.01
33,2,248,0.7,0.05,0.01
34,2,772,0.9,0.08,0.04
35,2,144,1.46,0.09,0.03
36,2,702,1.37,0.06,0.03
37,2,177,0.66,0.09,0.03
38,2,234,1.45,0.05,0.02
39,2,23,0.59,0.09,0.03
40,2,27,0.56,0.07,0.04
41,3,262,1.07,0.05,0.02
42,3,786,1.2,0.05,0.09
43,3,231,0.71,0.04,0.05
44,3,832,1.35,0.05,0.09
45,3,715,0.59,0.09,0.09
46,3,852,0.54,0.09,0.07
47,3,12,0.67,0.09,0.05
48,3,777,0.98,0.03,0.02
49,3,855,1.24,0.1,0.03
50,3,170,1.22,0.05,0.02
51,3,315,1.1,0.06,0.04
52,3,414,0.61,0.05,0.04
53,3,336,1.29,0.07,0.06
54,3,625,0.94,0.03,0.06
55,3,341,0.61,0.09,0.04
56,3,159,1.2,0.01,0.05
57,3,305,1.15,0.1,0.07
58,3,374,1.37,0.08,0.09
59,3,606,1.0,0.07,0.02
60,3,851,0.53,0.06,0.04
61,4,990,1.46,0.04,0.07
62,4,218,0.88,0.09,0.05
63,4,221,1.01,0.08,0.02
64,4,345,1.19,0.1,0.04
65,4,534,1.48,0.01,0.01
66,4,999,0.7,0.04,0.01
67,4,301,1.44,0.06,0.06
68,4,307,1.04,0.08,0.05
69,4,373,0.79,0.05,0.1
70,4,564,0.95,0.05,0.06
71,4,722,0.73,0.07,0.1
72,4,344,0.7,0.05,0.1
73,4,817,0.91,0.07,0.08
74,4,128,1.27,0.1,0.03
75,4,189,1.32,0.06,0.08
76,4,739,0.79,0.04,0.06
77,4,663,1.24,0.06,0.07
78,4,445,0.72,0.05,0.1
79,4,906,0.71,0.06,0.06
80,4,471,0.85,0.08,0.02
81,5,808,1.38,0.08,0.07
82,5,873,0.75,0.05,0.1
83,5,164,0.6,0.02,0.02
84,5,505,1.5,0.06,0.08
85,5,680,0.79,0.05,0.06
86,5,923,0.71,0.04,0.07
87,5,989,1.04,0.09,0.02
88,5,146,0.84,0.04,0.05
89,5,835,0.58,0.04,0.08
90,5,282,0.51,0.05,0.04
91,5,854,0.71,0.08,0.09
92,5,162,0.65,0.04,0.02
93,5,983,1.25,0.02,0.06
94,5,730,1.03,0.04,0.05
95,5,413,0.74,0.01,0.06
96,5,905,1.47,0.07,0.1
